1267;"Errol Aguilera";"M";23;175;77;"Trinidad and Tobago";"TTO";"2002 Winter";2002;"Winter";"Salt Lake City";"Bobsleigh";"Bobsleigh Men's Two";NA
5363;"Alexander Vladimirovich ""Sasha"" Artemev";"M";22;168;NA;"United States";"USA";"2008 Summer";2008;"Summer";"Beijing";"Gymnastics";"Gymnastics Men's Individual All-Around";NA
9459;"Mohsen Beiranvand";"M";22;185;105;"Iran";"IRI";"2004 Summer";2004;"Summer";"Athina";"Weightlifting";"Weightlifting Men's Heavyweight";NA
13555;"Heinz Born";"M";24;183;83;"Switzerland";"SUI";"1972 Summer";1972;"Summer";"Munich";"Athletics";"Athletics Men's Decathlon";NA
17651;"Yssica Camilo Gonzlez";"F";23;168;73;"Dominican Republic";"DOM";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Archery";"Archery Women's Individual";NA
21747;"Edward ""Ed"" Clancy";"M";23;185;79;"Great Britain";"GBR";"2008 Summer";2008;"Summer";"Beijing";"Cycling";"Cycling Men's Team Pursuit, 4,000 metres";"Gold"
25843;"De Jiaojiao";"F";22;167;57;"China";"CHN";"2012 Summer";2012;"Summer";"London";"Hockey";"Hockey Women's Hockey";NA
29939;"Yevgeny Yuryevich Drattsev";"M";25;180;74;"Russia";"RUS";"2008 Summer";2008;"Summer";"Beijing";"Swimming";"Swimming Men's 10 kilometres Open Water";NA
34035;"Bianca Farella";"F";24;173;73;"Canada";"CAN";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Rugby Sevens";"Rugby Sevens Women's Rugby Sevens";"Bronze"
38131;"Bastien Gallet";"M";24;190;90;"France";"FRA";"2004 Summer";2004;"Summer";"Athina";"Rowing";"Rowing Men's Coxed Eights";NA
42227;"Marco Soffiatti Grael";"M";27;181;82;"Brazil";"BRA";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Sailing";"Sailing Men's Skiff";NA
46323;"Kurt Hartung";"M";31;NA;NA;"Germany";"GER";"1956 Summer";1956;"Summer";"Melbourne";"Athletics";"Athletics Men's Marathon";NA
50419;"Thomas Hie";"M";29;NA;NA;"Kristiania Roklub";"NOR";"1912 Summer";1912;"Summer";"Stockholm";"Rowing";"Rowing Men's Coxed Eights";NA
54515;"Jeong Dong-Gi";"M";22;185;79;"South Korea";"KOR";"1972 Summer";1972;"Summer";"Munich";"Volleyball";"Volleyball Men's Volleyball";NA
58611;"Gloria E. Kemasuode (-Ubiebor)";"F";24;150;65;"Nigeria";"NGR";"2004 Summer";2004;"Summer";"Athina";"Athletics";"Athletics Women's 4 x 100 metres Relay";NA
62707;"Frantiek Kopiva";"M";19;NA;NA;"Bohemia";"BOH";"1912 Summer";1912;"Summer";"Stockholm";"Wrestling";"Wrestling Men's Middleweight B, Greco-Roman";NA
66803;"Ib Storm Larsen (-Storm)";"M";22;NA;NA;"Denmark";"DEN";"1948 Summer";1948;"Summer";"London";"Rowing";"Rowing Men's Coxless Fours";"Silver"
70899;"Paul Lob";"M";26;NA;NA;"Switzerland";"SUI";"1920 Summer";1920;"Summer";"Antwerpen";"Ice Hockey";"Ice Hockey Men's Ice Hockey";NA
74995;"Lamberto Mari";"M";18;172;75;"Italy";"ITA";"1952 Summer";1952;"Summer";"Helsinki";"Diving";"Diving Men's Springboard";NA
79091;"Mikls Meszna";"M";23;181;78;"Hungary";"HUN";"1964 Summer";1964;"Summer";"Tokyo";"Fencing";"Fencing Men's Sabre, Team";NA
83187;"Gerard ""Gerry"" Mullins";"M";30;168;71;"Ireland";"IRL";"1984 Summer";1984;"Summer";"Los Angeles";"Equestrianism";"Equestrianism Mixed Jumping, Individual";NA
87283;"Aim-Issa Nthp";"M";23;180;70;"Cameroon";"CMR";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Men's 4 x 100 metres Relay";NA
91379;"Matas Enrique Paredes";"M";22;176;74;"Argentina";"ARG";"2004 Summer";2004;"Summer";"Athina";"Hockey";"Hockey Men's Hockey";NA
95475;"Jos Plnio de Godoy";"M";22;166;66;"Brazil";"BRA";"1968 Summer";1968;"Summer";"Mexico City";"Football";"Football Men's Football";NA
99571;"Delphine Regease";"F";16;155;46;"France";"FRA";"2000 Summer";2000;"Summer";"Sydney";"Gymnastics";"Gymnastics Women's Individual All-Around";NA
103667;"Victor Rusu";"M";27;157;56;"Romania";"ROU";"1972 Summer";1972;"Summer";"Munich";"Weightlifting";"Weightlifting Men's Bantamweight";NA
107763;"Brandon Schuster";"M";18;188;75;"Samoa";"SAM";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Swimming";"Swimming Men's 200 metres Freestyle";NA
111859;"Frances Mary Slaap";"F";19;175;64;"Great Britain";"GBR";"1960 Summer";1960;"Summer";"Roma";"Athletics";"Athletics Women's High Jump";NA
115955;"Drte Stdemann";"F";24;170;59;"East Germany";"GDR";"1988 Summer";1988;"Summer";"Seoul";"Volleyball";"Volleyball Women's Volleyball";NA
120051;"Karl Tore William Thoresson";"M";20;171;67;"Sweden";"SWE";"1952 Summer";1952;"Summer";"Helsinki";"Gymnastics";"Gymnastics Men's Individual All-Around";NA
124147;"Hans Van Alphen";"M";26;191;91;"Belgium";"BEL";"2008 Summer";2008;"Summer";"Beijing";"Athletics";"Athletics Men's Decathlon";NA
128243;"Fernando Walls Armijo";"M";41;157;63;"Mexico";"MEX";"1972 Summer";1972;"Summer";"Munich";"Shooting";"Shooting Mixed Trap";NA
132339;"Toshiyuki Yamamura";"M";24;178;73;"Japan";"JPN";"1988 Summer";1988;"Summer";"Seoul";"Handball";"Handball Men's Handball";NA
