1524;"Ahmed Ait Moulay";"M";19;NA;NA;"Morocco";"MAR";"1984 Winter";1984;"Winter";"Sarajevo";"Alpine Skiing";"Alpine Skiing Men's Giant Slalom";NA
5620;"Bezik Aslanasvili";"M";27;161;60;"Greece";"GRE";"2004 Summer";2004;"Summer";"Athina";"Wrestling";"Wrestling Men's Lightweight, Freestyle";NA
9716;"Fernando Ferreira Lima Bello";"M";36;174;72;"Portugal";"POR";"1968 Summer";1968;"Summer";"Mexico City";"Sailing";"Sailing Mixed Three Person Keelboat";NA
13812;"Justo Santiago Botelho";"M";24;173;NA;"Brazil";"BRA";"1960 Summer";1960;"Summer";"Roma";"Modern Pentathlon";"Modern Pentathlon Men's Individual";NA
17908;"Amilcare Canevari";"M";22;NA;NA;"Italy";"ITA";"1928 Summer";1928;"Summer";"Amsterdam";"Rowing";"Rowing Men's Coxed Eights";NA
22004;"Matthew Spencer Clempner";"M";24;205;100;"Great Britain";"GBR";"1980 Summer";1980;"Summer";"Moskva";"Wrestling";"Wrestling Men's Super-Heavyweight, Freestyle";NA
26100;"Harumy Mariko de Freitas";"F";17;NA;NA;"Brazil";"BRA";"2012 Summer";2012;"Summer";"London";"Gymnastics";"Gymnastics Women's Team All-Around";NA
30196;"David Gerhardus Cornelius du Plessis";"M";34;180;84;"South Africa";"RSA";"1960 Summer";1960;"Summer";"Roma";"Shooting";"Shooting Men's Small-Bore Rifle, Prone, 50 metres";NA
34292;"Nadine Faustin-Parker";"F";24;163;59;"Haiti";"HAI";"2000 Summer";2000;"Summer";"Sydney";"Athletics";"Athletics Women's 100 metres Hurdles";NA
38388;"Barbara ""Baba"" Ganz (-Erdin)";"F";24;168;61;"Switzerland";"SUI";"1988 Summer";1988;"Summer";"Seoul";"Cycling";"Cycling Women's Road Race, Individual";NA
42484;"Jean E. M. Graul";"M";40;189;100;"Alain IV";"SUI";"1964 Summer";1964;"Summer";"Tokyo";"Sailing";"Sailing Mixed 5.5 metres";NA
46580;"Ergilio Pedro Hato";"M";25;NA;NA;"Netherlands Antilles";"AHO";"1952 Summer";1952;"Summer";"Helsinki";"Football";"Football Men's Football";NA
50676;"Huang Zuping";"M";45;174;67;"China";"CHN";"2008 Summer";2008;"Summer";"Beijing";"Equestrianism";"Equestrianism Mixed Jumping, Individual";NA
54772;"Jiang Chen";"M";22;170;62;"China";"CHN";"1988 Summer";1988;"Summer";"Seoul";"Sailing";"Sailing Mixed Windsurfer";NA
58868;"Cecil Ashworth Kershaw";"M";25;173;NA;"Great Britain";"GBR";"1920 Summer";1920;"Summer";"Antwerpen";"Fencing";"Fencing Men's Foil, Individual";NA
62964;"Krzysztof Kazimierz Kosedowski";"M";19;169;57;"Poland";"POL";"1980 Summer";1980;"Summer";"Moskva";"Boxing";"Boxing Men's Featherweight";"Bronze"
67060;"Dezs Lauber";"M";28;NA;NA;"Hungary";"HUN";"1908 Summer";1908;"Summer";"London";"Tennis";"Tennis Men's Singles";NA
71156;"Pablo Enrique Lombi Etulain";"M";23;NA;NA;"Argentina";"ARG";"1992 Summer";1992;"Summer";"Barcelona";"Hockey";"Hockey Men's Hockey";NA
75252;"Valentina Marocchi";"F";20;167;60;"Italy";"ITA";"2004 Summer";2004;"Summer";"Athina";"Diving";"Diving Women's Springboard";NA
79348;"Lars Neiendam Michaelsen";"M";23;185;79;"Denmark";"DEN";"1992 Summer";1992;"Summer";"Barcelona";"Cycling";"Cycling Men's Road Race, Individual";NA
83444;"Yukari Murata";"F";18;164;46;"Japan";"JPN";"2000 Summer";2000;"Summer";"Sydney";"Rhythmic Gymnastics";"Rhythmic Gymnastics Women's Group";NA
87540;"Albert Mikael Nyman";"M";39;NA;NA;"Finland";"FIN";"1912 Summer";1912;"Summer";"Stockholm";"Diving";"Diving Men's Plain High";NA
91636;"Park Yong-I";"M";20;NA;NA;"North Korea";"PRK";"1992 Summer";1992;"Summer";"Barcelona";"Judo";"Judo Men's Lightweight";NA
95732;"Lionel Poirot";"M";19;188;73;"France";"FRA";"1992 Summer";1992;"Summer";"Barcelona";"Swimming";"Swimming Men's 4 x 200 metres Freestyle Relay";NA
99828;"Siegfried Reischies (-Reiner)";"M";27;NA;NA;"Germany";"GER";"1936 Summer";1936;"Summer";"Berlin";"Basketball";"Basketball Men's Basketball";NA
103924;"Yevgeny Aleksandrovich Ryzhkov";"M";19;180;80;"Kazakhstan";"KAZ";"2004 Summer";2004;"Summer";"Athina";"Swimming";"Swimming Men's 200 metres Individual Medley";NA
