1679;"Erdoan Akn";"M";NA;NA;NA;"Turkey";"TUR";"1952 Summer";1952;"Summer";"Helsinki";"Football";"Football Men's Football";NA
5775;"Augustine Atasie";"M";22;165;62;"Nigeria";"NGR";"1980 Summer";1980;"Summer";"Moskva";"Wrestling";"Wrestling Men's Featherweight, Freestyle";NA
9871;"Mehdi Ben Cheikh";"M";33;183;88;"Tunisia";"TUN";"2012 Summer";2012;"Summer";"London";"Volleyball";"Volleyball Men's Volleyball";NA
13967;"Julienne Boudewijns";"F";18;NA;NA;"Belgium";"BEL";"1948 Summer";1948;"Summer";"London";"Gymnastics";"Gymnastics Women's Team All-Around";NA
18063;"Tranquilo Capozzo Zironda";"M";30;NA;NA;"Argentina";"ARG";"1948 Summer";1948;"Summer";"London";"Rowing";"Rowing Men's Single Sculls";NA
22159;"Linda Lorraine ""Lindy"" Cochran (-Kelley)";"F";22;NA;NA;"United States";"USA";"1976 Winter";1976;"Winter";"Innsbruck";"Alpine Skiing";"Alpine Skiing Women's Giant Slalom";NA
26255;"Juan Domingo de la Cruz Fermanelli";"M";26;205;89;"Spain";"ESP";"1980 Summer";1980;"Summer";"Moskva";"Basketball";"Basketball Men's Basketball";NA
30351;"Eike Duckwitz";"M";24;180;72;"Germany";"GER";"2004 Summer";2004;"Summer";"Athina";"Hockey";"Hockey Men's Hockey";"Bronze"
34447;"Adolf Fehr";"M";19;NA;NA;"Liechtenstein";"LIE";"1960 Winter";1960;"Winter";"Squaw Valley";"Alpine Skiing";"Alpine Skiing Men's Downhill";NA
38543;"Dulce Margarita Garca Gil";"F";27;173;68;"Cuba";"CUB";"1992 Summer";1992;"Summer";"Barcelona";"Athletics";"Athletics Women's Javelin Throw";NA
42639;"Michael Green";"M";34;NA;NA;"Barbados";"BAR";"1988 Summer";1988;"Summer";"Seoul";"Sailing";"Sailing Mixed Two Person Keelboat";NA
46735;"Otosico Tausinga  Havili";"M";20;NA;74;"Tonga";"TGA";"1984 Summer";1984;"Summer";"Los Angeles";"Boxing";"Boxing Men's Middleweight";NA
50831;"John R. Huettner";"M";25;NA;NA;"Angelita";"USA";"1932 Summer";1932;"Summer";"Los Angeles";"Sailing";"Sailing Mixed 8 metres";"Gold"
54927;"Lalin Jirasinha";"M";26;165;71;"Sri Lanka";"SRI";"1984 Summer";1984;"Summer";"Los Angeles";"Sailing";"Sailing Mixed Two Person Dinghy";NA
59023;"Amir Reza Khadem Azgadhi";"M";18;175;78;"Iran";"IRI";"1988 Summer";1988;"Summer";"Seoul";"Wrestling";"Wrestling Men's Lightweight, Freestyle";NA
