3037;"Luis Armando Alonso Gmez";"M";24;193;85;"Cuba";"CUB";"1976 Summer";1976;"Summer";"Montreal";"Rowing";"Rowing Men's Coxed Eights";NA
7133;"Dmitry Igorevich Balandin";"M";21;195;85;"Kazakhstan";"KAZ";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Swimming";"Swimming Men's 100 metres Breaststroke";NA
11229;"Chad Michael Biafore";"M";29;182;84;"Italy";"ITA";"1998 Winter";1998;"Winter";"Nagano";"Ice Hockey";"Ice Hockey Men's Ice Hockey";NA
15325;"Trayvon Jaquez Bromell";"M";21;175;70;"United States";"USA";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Athletics";"Athletics Men's 100 metres";NA
19421;"Juan Ignacio Cerra";"M";23;180;100;"Argentina";"ARG";"2000 Summer";2000;"Summer";"Sydney";"Athletics";"Athletics Men's Hammer Throw";NA
23517;"James Couttet";"M";26;168;67;"France";"FRA";"1948 Winter";1948;"Winter";"Sankt Moritz";"Alpine Skiing";"Alpine Skiing Men's Downhill";NA
27613;"Ulrike Denk";"F";20;170;53;"West Germany";"FRG";"1984 Summer";1984;"Summer";"Los Angeles";"Athletics";"Athletics Women's 100 metres Hurdles";NA
31709;"Marthe Enger Eide";"F";22;170;NA;"Norway";"NOR";"2012 Summer";2012;"Summer";"London";"Sailing";"Sailing Women's One Person Dinghy";NA
35805;"Barbara Kay Fletcher (-Evans)";"F";21;158;51;"Australia";"AUS";"1964 Summer";1964;"Summer";"Tokyo";"Gymnastics";"Gymnastics Women's Individual All-Around";NA
39901;"Fritz Geyer";"M";27;NA;NA;"Germany";"GER";"1952 Summer";1952;"Summer";"Helsinki";"Diving";"Diving Men's Platform";NA
43997;"Macit Grdal";"M";NA;NA;NA;"Turkey";"TUR";"1952 Summer";1952;"Summer";"Helsinki";"Football";"Football Men's Football";NA
48093;"Yoel Hernndez Reyes";"M";22;188;85;"Cuba";"CUB";"2000 Summer";2000;"Summer";"Sydney";"Athletics";"Athletics Men's 110 metres Hurdles";NA
52189;"Enrique Inostroza Arancibia";"M";27;NA;NA;"Chile";"CHI";"1948 Summer";1948;"Summer";"London";"Athletics";"Athletics Men's Marathon";NA
56285;"Joseph ""Joe"" Juneau";"M";24;182;87;"Canada";"CAN";"1992 Winter";1992;"Winter";"Albertville";"Ice Hockey";"Ice Hockey Men's Ice Hockey";"Silver"
60381;"Kim Yun-Hye";"F";21;178;67;"South Korea";"KOR";"1988 Summer";1988;"Summer";"Seoul";"Volleyball";"Volleyball Women's Volleyball";NA
64477;"Trlan Krimov";"M";25;167;66;"Azerbaijan";"AZE";"2012 Summer";2012;"Summer";"London";"Judo";"Judo Men's Half-Lightweight";NA
68573;"Asen Georgiev Lekarski";"M";27;NA;NA;"Bulgaria";"BUL";"1928 Summer";1928;"Summer";"Amsterdam";"Fencing";"Fencing Men's Sabre, Individual";NA
72669;"Anders Christer Lyrbring";"M";18;NA;NA;"Sweden";"SWE";"1996 Summer";1996;"Summer";"Atlanta";"Swimming";"Swimming Men's 4 x 200 metres Freestyle Relay";"Silver"
76765;"Nikolai Matvejev";"M";28;NA;NA;"Soviet Union";"URS";"1952 Summer";1952;"Summer";"Helsinki";"Cycling";"Cycling Men's Team Pursuit, 4,000 metres";NA
80861;"Aleksandr Gennadiyevich Mogilny";"M";18;180;86;"Soviet Union";"URS";"1988 Winter";1988;"Winter";"Calgary";"Ice Hockey";"Ice Hockey Men's Ice Hockey";"Gold"
84957;"Cristina Georgiana Neagu";"F";19;180;69;"Romania";"ROU";"2008 Summer";2008;"Summer";"Beijing";"Handball";"Handball Women's Handball";NA
89053;"Ahmed Rajab Omari";"M";16;183;91;"Kenya";"KEN";"1996 Summer";1996;"Summer";"Atlanta";"Boxing";"Boxing Men's Heavyweight";NA
93149;"Jerneja Perc";"F";25;168;65;"Slovenia";"SLO";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Women's 100 metres";NA
97245;"Ott Prouza";"M";31;180;81;"Hungary";"HUN";"1964 Summer";1964;"Summer";"Tokyo";"Volleyball";"Volleyball Men's Volleyball";NA
101341;"Bruce Richard Robertson";"M";19;178;70;"Canada";"CAN";"1972 Summer";1972;"Summer";"Munich";"Swimming";"Swimming Men's 100 metres Freestyle";NA
