3251;"Ivan Vladimirovich Alypov";"M";23;169;60;"Russia";"RUS";"2006 Winter";2006;"Winter";"Torino";"Cross Country Skiing";"Cross Country Skiing Men's Sprint";NA
7347;"Coralie Balmy";"F";21;180;67;"France";"FRA";"2008 Summer";2008;"Summer";"Beijing";"Swimming";"Swimming Women's 400 metres Freestyle";NA
11443;"Victor Bignon Guzman";"M";NA;NA;NA;"Chile";"CHI";"1948 Summer";1948;"Summer";"London";"Boxing";"Boxing Men's Heavyweight";NA
15539;"James R. ""Jim"" Brown";"M";22;NA;NA;"Canada";"CAN";"1932 Summer";1932;"Summer";"Los Angeles";"Athletics";"Athletics Men's 4 x 100 metres Relay";NA
19635;"Ricardo Chambers";"M";23;177;73;"Jamaica";"JAM";"2008 Summer";2008;"Summer";"Beijing";"Athletics";"Athletics Men's 400 metres";NA
23731;"Eric Shauwn Brazas Cray";"M";27;176;70;"Philippines";"PHI";"2016 Summer";2016;"Summer";"Rio de Janeiro";"Athletics";"Athletics Men's 400 metres Hurdles";NA
27827;"Pierre Desormeaux";"M";23;188;78;"Canada";"CAN";"1976 Summer";1976;"Summer";"Montreal";"Handball";"Handball Men's Handball";NA
31923;"Ahmed El-Attar";"M";25;202;105;"Egypt";"EGY";"1992 Summer";1992;"Summer";"Barcelona";"Handball";"Handball Men's Handball";NA
36019;"Catherine Helen Fogarty";"F";17;159;50;"Zimbabwe";"ZIM";"1988 Summer";1988;"Summer";"Seoul";"Swimming";"Swimming Women's 50 metres Freestyle";NA
40115;"Lavinia Gianoni";"F";17;NA;NA;"Italy";"ITA";"1928 Summer";1928;"Summer";"Amsterdam";"Gymnastics";"Gymnastics Women's Team All-Around";"Silver"
44211;"August Gttinger";"M";31;NA;NA;"Switzerland";"SUI";"1924 Summer";1924;"Summer";"Paris";"Gymnastics";"Gymnastics Men's Individual All-Around";NA
48307;"Kurt Heubusch";"M";23;191;78;"Austria";"AUT";"1964 Summer";1964;"Summer";"Tokyo";"Canoeing";"Canoeing Men's Kayak Fours, 1,000 metres";NA
52403;"Harry Isaacs";"M";20;NA;NA;"South Africa";"RSA";"1928 Summer";1928;"Summer";"Amsterdam";"Boxing";"Boxing Men's Bantamweight";"Bronze"
56499;"Samsudeen Kabeer";"M";25;NA;70;"India";"IND";"1996 Summer";1996;"Summer";"Atlanta";"Weightlifting";"Weightlifting Men's Lightweight";NA
60595;"Paul Kipkoech";"M";21;173;58;"Kenya";"KEN";"1984 Summer";1984;"Summer";"Los Angeles";"Athletics";"Athletics Men's 5,000 metres";NA
64691;"Stephan Kuhl";"M";24;180;79;"Germany";"GER";"1992 Summer";1992;"Summer";"Barcelona";"Badminton";"Badminton Men's Singles";NA
68787;"Silvio Leonard Sarra";"M";20;173;64;"Cuba";"CUB";"1976 Summer";1976;"Summer";"Montreal";"Athletics";"Athletics Men's 100 metres";NA
72883;"Joseph Oliver MacDonald";"M";20;180;70;"United States";"USA";"1924 Summer";1924;"Summer";"Paris";"Athletics";"Athletics Men's 4 x 400 metres Relay";"Gold"
76979;"George Mayer";"M";NA;NA;NA;"United States";"USA";"1904 Summer";1904;"Summer";"St. Louis";"Gymnastics";"Gymnastics Men's Individual All-Around";NA
81075;"Mario Mola Daz";"M";22;178;63;"Spain";"ESP";"2012 Summer";2012;"Summer";"London";"Triathlon";"Triathlon Men's Olympic Distance";NA
85171;"Andr Nelis";"M";21;192;90;"Belgium";"BEL";"1956 Summer";1956;"Summer";"Melbourne";"Sailing";"Sailing Mixed One Person Dinghy";"Silver"
89267;"Englebert Opdebeeck";"M";21;185;74;"Belgium";"BEL";"1968 Summer";1968;"Summer";"Mexico City";"Cycling";"Cycling Men's 100 kilometres Team Time Trial";NA
93363;"Luis Francisco Prez Hernndez";"M";22;174;72;"Colombia";"COL";"1980 Summer";1980;"Summer";"Moskva";"Football";"Football Men's Football";NA
97459;"Raphal Pujazon";"M";30;175;61;"France";"FRA";"1948 Summer";1948;"Summer";"London";"Athletics";"Athletics Men's 3,000 metres Steeplechase";NA
101555;"Michael Roche";"M";29;185;71;"Ireland";"IRL";"2000 Summer";2000;"Summer";"Sydney";"Boxing";"Boxing Men's Light-Middleweight";NA
105651;"Raimundo Sousa Santos";"M";24;172;58;"Portugal";"POR";"1992 Summer";1992;"Summer";"Barcelona";"Athletics";"Athletics Men's 5,000 metres";NA
109747;"Jean Marie Shiley (-Newhouse)";"F";16;172;61;"United States";"USA";"1928 Summer";1928;"Summer";"Amsterdam";"Athletics";"Athletics Women's High Jump";NA
113843;"Robert Cleon Spiess";"M";21;NA;NA;"Germany";"GER";"1912 Summer";1912;"Summer";"Stockholm";"Tennis";"Tennis Men's Singles";NA
117939;"Susumu Takahashi";"M";31;170;70;"Japan";"JPN";"1952 Summer";1952;"Summer";"Helsinki";"Athletics";"Athletics Men's 3,000 metres Steeplechase";NA
122035;"Nicol Tronci";"M";31;NA;NA;"Italy";"ITA";"1936 Summer";1936;"Summer";"Berlin";"Gymnastics";"Gymnastics Men's Individual All-Around";NA
126131;"Sidonie Verschueren";"F";NA;NA;NA;"Belgium";"BEL";"1928 Summer";1928;"Summer";"Amsterdam";"Athletics";"Athletics Women's 100 metres";NA
130227;"Natalie Wiegersma";"F";22;172;66;"New Zealand";"NZL";"2012 Summer";2012;"Summer";"London";"Swimming";"Swimming Women's 200 metres Individual Medley";NA
134323;"Zdenk emla";"M";NA;NA;NA;"Bohemia";"BOH";"1906 Summer";1906;"Summer";"Athina";"Tennis";"Tennis Men's Singles";"Bronze"
