3865;"Osborne ""Ty"" Anderson";"M";23;175;77;"United States";"USA";"1932 Winter";1932;"Winter";"Lake Placid";"Ice Hockey";"Ice Hockey Men's Ice Hockey";"Silver"
7961;"Jennifer-Kirsten Barnes";"F";20;175;75;"Canada";"CAN";"1988 Summer";1988;"Summer";"Seoul";"Rowing";"Rowing Women's Coxless Pairs";NA
12057;"Kelly L. Blair (-LaBounty)";"F";25;181;61;"United States";"USA";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Women's Heptathlon";NA
16153;"Eduard Budil";"M";36;180;80;"Austria";"AUT";"1960 Summer";1960;"Summer";"Roma";"Equestrianism";"Equestrianism Mixed Jumping, Individual";NA
20249;"Chen Qi";"M";20;174;67;"China-1";"CHN";"2004 Summer";2004;"Summer";"Athina";"Table Tennis";"Table Tennis Men's Doubles";"Gold"
24345;"Luca Cunti";"M";24;185;85;"Switzerland";"SUI";"2014 Winter";2014;"Winter";"Sochi";"Ice Hockey";"Ice Hockey Men's Ice Hockey";NA
28441;"Louis Diercxsens";"M";21;NA;NA;"Belgium";"BEL";"1920 Summer";1920;"Summer";"Antwerpen";"Hockey";"Hockey Men's Hockey";"Bronze"
32537;"Valentina Enachi";"F";30;162;51;"Moldova";"MDA";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Women's Marathon";NA
36633;"Ernesto Franceschi";"M";23;NA;NA;"Italy-2";"ITA";"1936 Winter";1936;"Winter";"Garmisch-Partenkirchen";"Bobsleigh";"Bobsleigh Men's Four";NA
40729;"Aleksandr Ivanovich Glavatsky";"M";26;187;82;"Belarus";"BLR";"1996 Summer";1996;"Summer";"Atlanta";"Athletics";"Athletics Men's Long Jump";NA
44825;"Ilmari Haimi";"M";44;167;65;"Finland";"FIN";"1952 Summer";1952;"Summer";"Helsinki";"Equestrianism";"Equestrianism Men's Three-Day Event, Individual";NA
48921;"Todd Bradley Hlushko";"M";24;180;89;"Canada";"CAN";"1994 Winter";1994;"Winter";"Lillehammer";"Ice Hockey";"Ice Hockey Men's Ice Hockey";"Silver"
53017;"Hiroyuki Izumi";"M";18;170;70;"Japan";"JPN";"1984 Summer";1984;"Summer";"Los Angeles";"Canoeing";"Canoeing Men's Canadian Doubles, 500 metres";NA
57113;"Bettina Kmpf";"F";21;180;68;"West Germany";"FRG";"1988 Summer";1988;"Summer";"Seoul";"Rowing";"Rowing Women's Coxless Pairs";NA
